gene	locus tag	accession number (protein_id)	description	reference	source	class
fliM	Z3035		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliN	Z3036		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliO	Z3037		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliP	Z3038		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliQ	Z3039		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
fliR	Z3040		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flk	Z3583		E. coli peritrichous flagella 1 gene cluster (Flag-1)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Flagella
flkA	E1470_c32600	AJG10150	alternative flagellin islet	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	Flagella
flkB	E1470_c32590	AJG10149	alternative flagellin islet	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	Flagella
lfhA	EC042_0245	YP_006094578	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfhB	EC042_0246	YP_006094579	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiR	EC042_0247	YP_006094580	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiQ	EC042_0248	YP_006094581	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiP	EC042_0249	YP_006094582	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiN	EC042_0250	YP_006094583	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiM	EC042_0251	YP_006094584	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafK	EC042_0252	YP_006094585	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiE	EC042_0253	YP_006094586	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiF	EC042_0254	YP_006094587	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiG	EC042_0255	YP_006094588	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiH	EC042_0256	YP_006094589	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiI	EC042_0257	YP_006094590	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfiJ	EC042_0258	YP_006094591	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
	EC042_0259	YP_006094592	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
	EC042_0260	YP_006094593	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafV	EC042_0261	YP_006094594	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgN	EC042_0262	YP_006094595	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgM	EC042_0263	YP_006094596	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgA	EC042_0264	YP_006094597	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgB	EC042_0265	YP_006094598	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgC	EC1303_c02530	AJF55026	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O70:H32 1303 (MPEC)	manually	Flagella
lfgD	EC042_0267	YP_006094599	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgE	EC042_0268	YP_006094600	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgF	EC042_0269	YP_006094601	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgG	EC042_0270	YP_006094602	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgH	EC042_0271	YP_006094603	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgI	EC042_0272	YP_006094604	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgJ	EC042_0273	YP_006094605	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgK	EC042_0274	YP_006094606	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lfgL	EC042_0275	YP_006094607	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafW	EC042_0276	YP_006094608	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafZ	EC042_0279	YP_006094611	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafA	EC042_0280	YP_006094612	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafB	EC042_0281	YP_006094613	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafC	EC042_0282	YP_006094614	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafD	EC042_0283	YP_006094615	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafE	EC042_0284	YP_006094616	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafF	EC042_0285	YP_006094617	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafS	EC042_0286	YP_006094618	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafT	EC042_0287	YP_006094619	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
lafU	EC042_0288	YP_006094620	E. coli flagella 2 gene cluster (Flag-2)	Escherichia coli O44:H18 042 (EAEC)	manually	Flagella
chuS	c4307		heme/hemoglobin transport system	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
chuA	c4308		heme/hemoglobin transport system	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
chuT	c4313		heme/hemoglobin transport system	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
chuW	c4314		heme/hemoglobin transport system	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
chuX	c4315		heme/hemoglobin transport system	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
chuY	c4316		heme/hemoglobin transport system	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
chuU	c4317		heme/hemoglobin transport system	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
chuV	c4318		heme/hemoglobin transport system	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
cirA	c2690	NP_754578	catecholate siderophore receptor and colicin I receptor	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
cjrA	UTI89_P027	YP_538626	putative iron acquisition operon	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Iron_uptake
cjrB	UTI89_P028	YP_538627	putative iron acquisition operon	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Iron_uptake
cjrC	UTI89_P029	YP_538628	putative iron acquisition operon	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Iron_uptake
efeU	EC042_1093	YP_006095408	ferrous low pH iron transport; ycdN	Escherichia coli O44:H18 042 (EAEC)	manually	Iron_uptake
efeO	EC042_1094	YP_006095409	ferrous low pH iron transport; ycdO	Escherichia coli O44:H18 042 (EAEC)	manually	Iron_uptake
efeB	EC042_1095	YP_006095410	ferrous low pH iron transport; ycdB	Escherichia coli O44:H18 042 (EAEC)	manually	Iron_uptake
eitA	APECO1_O1CoBM102	YP_001481257	ABC iron transport, ColV plasmid-associated	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Iron_uptake
eitB	APECO1_O1CoBM101	YP_001481256	ABC iron transport, ColV plasmid-associated	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Iron_uptake
eitC	APECO1_O1CoBM100	YP_001481255	ABC iron transport, ColV plasmid-associated	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Iron_uptake
eitD	APECO1_O1CoBM99	YP_001481254	ABC iron transport, ColV plasmid-associated	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Iron_uptake
entD	c0668	NP_752599	enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
fepA	c0669		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
fes	c0671		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
entF	c0673		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
fepE	c0674		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
fepC	c0675		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
fepG	c0676		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
fepD	c0677		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
entS	c0678		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
fepB	c0679		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
entC	c0680		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
entE	c0681		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
entB	c0682		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
entA	c0683		enterobactin biosynthesis/transport gene cluster, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
fbpC	ECs0413	NP_308440	ferric iron transport system	Escherichia coli O157:H7 EDL933 (EHEC)	manually	Iron_uptake
fbpB	ECs0414	NP_308441	ferric iron transport system	Escherichia coli O157:H7 EDL933 (EHEC)	manually	Iron_uptake
fbpA	ECs0415	NP_308442	ferric iron transport system	Escherichia coli O157:H7 EDL933 (EHEC)	manually	Iron_uptake
fecE	b4287	NP_418707	ferric citrate transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fecD	b4288	NP_418708	ferric citrate transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fecC	b4289	NP_418709	ferric citrate transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fecB	b4290	NP_418710	ferric citrate transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fecA	b4291	NP_418711	ferric citrate transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fecR	b4292	NP_418712	ferric citrate transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fecI	b4293	NP_418713	ferric citrate transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
feoA	b3408	NP_417867	ferrous iron transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
feoB	b3409	NP_417868	ferrous iron transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
feoC	b3410	NP_417869	ferrous iron transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fhuA	b0150	NP_414692	ferrichrome iron transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fhuC	b0151	NP_414693	ferrichrome iron transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fhuD	b0152	NP_414694	ferrichrome iron transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fhuB	b0153	NP_414695	ferrichrome iron transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fhuE	b1102	NP_415620	ferric coprogen outer membrane porin	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fhuF	b4367	NP_418787	ferric iron reductase involved in ferric hydroximate transport	Escherichia coli K-12 MG1655 (NPEC)	manually	Iron_uptake
fitR	EC042_3315	YP_006097606	ferrichrome iron transport system	Escherichia coli O44:H18 042 (EAEC)	manually	Iron_uptake
fitE	EC042_3316	YP_006097607	ferrichrome iron transport system	Escherichia coli O44:H18 042 (EAEC)	manually	Iron_uptake
fitD	EC042_3317	YP_006097608	ferrichrome iron transport system	Escherichia coli O44:H18 042 (EAEC)	manually	Iron_uptake
fitC	EC042_3318	YP_006097609	ferrichrome iron transport system	Escherichia coli O44:H18 042 (EAEC)	manually	Iron_uptake
fitB	EC042_3319	YP_006097610	ferrichrome iron transport system	Escherichia coli O44:H18 042 (EAEC)	manually	Iron_uptake
fitA	EC042_3320	YP_006097611	ferrichrome iron transport system	Escherichia coli O44:H18 042 (EAEC)	manually	Iron_uptake
fiu	c0890	NP_752820	catecholate siderophore receptor Fiu; ybiL	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
hma	c2482	NP_754374	outer membrane receptor for iron heme-mediated uptake or colicin	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
ireA	c5174	NP_757022	iron-responsive element	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iroN	c1250	NP_753164	salmochelin iron transport, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iroE	c1251	NP_753165	salmochelin iron transport, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iroD	c1252	NP_753166	salmochelin iron transport, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iroC	c1253	NP_753167	salmochelin iron transport, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iroB	c1254	NP_753168	salmochelin iron transport, catecholate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iucA	c3627	NP_755502	aerobactin biosynthesis cluster, with receptor iutA, citrate hydroxamate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iucB	c3626	NP_755501	aerobactin biosynthesis cluster, with receptor iutA, citrate hydroxamate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iucC	c3625	NP_755500	aerobactin biosynthesis cluster, with receptor iutA, citrate hydroxamate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iucD	c3624	NP_755499	aerobactin biosynthesis cluster, with receptor iutA, citrate hydroxamate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
iutA	c3623	NP_755498	aerobactin biosynthesis cluster, with receptor iutA, citrate hydroxamate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
shiF	c3628	NP_755503	(areobactin) transport protein ShiF	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Iron_uptake
sitD	EC042_1518		ferrous iron/manganese transport system	Escherichia coli O44:H18 042 (EAEC)	VFDB R2	Iron_uptake
sitC	EC042_1519		ferrous iron/manganese transport system	Escherichia coli O44:H18 042 (EAEC)	VFDB R2	Iron_uptake
sitB	EC042_1520		ferrous iron/manganese transport system	Escherichia coli O44:H18 042 (EAEC)	VFDB R2	Iron_uptake
sitA	EC042_1521		ferrous iron/manganese transport system	Escherichia coli O44:H18 042 (EAEC)	VFDB R2	Iron_uptake
ybtS	c2419		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
ybtX	c2420		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
ybtQ	c2421		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
ybtP	c2422		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
ybtA	c2423		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
irp2	c2424		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
irp1	c2429		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
ybtU	c2430		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
ybtT	c2432		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
ybtE	c2433		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
fyuA	c2436		yersiniabactin iron transport, phenolate type	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Iron_uptake
bor	APECO1_O1CoBM146	YP_001481302	increased serum survival, iss	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Serum_resistance
gfcA	EC1303_c10070	AJF55755	group 4 capsule (G4C)	Escherichia coli O70:H32 1303 (MPEC)	manually	Serum_resistance
gfcB	EC1303_c10060	AJF55754	group 4 capsule (G4C)	Escherichia coli O70:H32 1303 (MPEC)	manually	Serum_resistance
gfcC	EC1303_c10050	AJF55753	group 4 capsule (G4C)	Escherichia coli O70:H32 1303 (MPEC)	manually	Serum_resistance
gfcD	EC1303_c10040	AJF55752	group 4 capsule (G4C)	Escherichia coli O70:H32 1303 (MPEC)	manually	Serum_resistance
gfcE	EC1303_c10030	AJF55751	group 4 capsule (G4C)	Escherichia coli O70:H32 1303 (MPEC)	manually	Serum_resistance
etp	EC1303_c10020	AJF55750	group 4 capsule (G4C)	Escherichia coli O70:H32 1303 (MPEC)	manually	Serum_resistance
etk	EC1303_c10010	AJF55749	group 4 capsule (G4C)	Escherichia coli O70:H32 1303 (MPEC)	manually	Serum_resistance
kpsC'-K5	ECP_3024	YP_670908	K15 capsule (mix of group2 and 3 capsule); kpsFEDU (kpsC(K5) truncated) identical to group 2 capsules	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Serum_resistance
kpsS-K10	ECP_3027	YP_670911	K15 capsule (mix of group2 and 3 capsule); kpsFEDU (kpsC(K5) truncated) identical to group 2 capsules	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Serum_resistance
kpsC-K10	ECP_3028	YP_670912	K15 capsule (mix of group2 and 3 capsule); kpsFEDU (kpsC(K5) truncated) identical to group 2 capsules	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Serum_resistance
kpsT-K15	ECP_3035	YP_670919	K15 capsule (mix of group2 and 3 capsule); kpsFEDU (kpsC(K5) truncated) identical to group 2 capsules	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Serum_resistance
kpsM-K15	ECP_3036	YP_670920	K15 capsule (mix of group2 and 3 capsule); kpsFEDU (kpsC(K5) truncated) identical to group 2 capsules	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Serum_resistance
kpsD-III	AK99_RS0104360	WP_023154148	group 3 capsule (for all group 3) genes of region 1 and region 3 (e.g. K10, K54)	Escherichia coli MS499 (ExPEC)	manually	Serum_resistance
kpsM-III	AK99_RS0104355	WP_032317967	group 3 capsule (for all group 3) genes of region 1 and region 3 (e.g. K10, K54)	Escherichia coli MS499 (ExPEC)	manually	Serum_resistance
kpsT-III	AK99_RS0104350	WP_032317966	group 3 capsule (for all group 3) genes of region 1 and region 3 (e.g. K10, K54)	Escherichia coli MS499 (ExPEC)	manually	Serum_resistance
kpsE-III	AK99_RS0104345	WP_032317965	group 3 capsule (for all group 3) genes of region 1 and region 3 (e.g. K10, K54)	Escherichia coli MS499 (ExPEC)	manually	Serum_resistance
kpsC-III	AK99_RS0104270	WP_032317955	group 3 capsule (for all group 3) genes of region 1 and region 3 (e.g. K10, K54)	Escherichia coli MS499 (ExPEC)	manually	Serum_resistance
kpsS-III	AK99_RS0104265	WP_001735713	group 3 capsule (for all group 3) genes of region 1 and region 3 (e.g. K10, K54)	Escherichia coli MS499 (ExPEC)	manually	Serum_resistance
kpsF-II	ECABU_c33430	YP_006107339	group 2 capsule (for all group 2) genes of region 1 (e.g. K1, K2, K5, and K12)	Escherichia coli ABU 83972 (NPEC)	manually	Serum_resistance
kpsE-II	ECABU_c33440	YP_006107340	group 2 capsule (for all group 2) genes of region 1 (e.g. K1, K2, K5, and K12)	Escherichia coli ABU 83972 (NPEC)	manually	Serum_resistance
kpsD-II	ECABU_c33450	YP_006107341	group 2 capsule (for all group 2) genes of region 1 (e.g. K1, K2, K5, and K12)	Escherichia coli ABU 83972 (NPEC)	manually	Serum_resistance
kpsU-II	ECABU_c33460	YP_006107342	group 2 capsule (for all group 2) genes of region 1 (e.g. K1, K2, K5, and K12)	Escherichia coli ABU 83972 (NPEC)	manually	Serum_resistance
kpsC-II	ECABU_c33470	YP_006107343	group 2 capsule (for all group 2) genes of region 1 (e.g. K1, K2, K5, and K12)	Escherichia coli ABU 83972 (NPEC)	manually	Serum_resistance
kpsS-II	ECABU_c33480	YP_006107344	group 2 capsule (for all group 2) genes of region 1 (e.g. K1, K2, K5, and K12)	Escherichia coli ABU 83972 (NPEC)	manually	Serum_resistance
kpsM-II-K5	ECABU_c33560	YP_006107351	K5 capsule, group 2 capsule genes of region 3	Escherichia coli ABU 83972 (NPEC)	manually	Serum_resistance
kpsT-II-K5	ECABU_c33550	YP_006107350	K5 capsule, group 2 capsule genes of region 3	Escherichia coli ABU 83972 (NPEC)	manually	Serum_resistance
kpsM-K2	c3698	NP_755573	K2 capsule genes region 3	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Serum_resistance
kpsT-K2	c3697	NP_755572	K2 capsule genes region 3	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Serum_resistance
neuS	UTI89_C3368	YP_542346	K1 capsule (group 2 capsule genes of regions 2 and 3)	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Serum_resistance
neuE	UTI89_C3369	YP_542347	K1 capsule (group 2 capsule genes of regions 2 and 3)	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Serum_resistance
neuC	UTI89_C3370	YP_542348	K1 capsule (group 2 capsule genes of regions 2 and 3)	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Serum_resistance
neuA	UTI89_C3371	YP_542349	K1 capsule (group 2 capsule genes of regions 2 and 3)	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Serum_resistance
neuB	UTI89_C3372	YP_542350	K1 capsule (group 2 capsule genes of regions 2 and 3)	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Serum_resistance
neuD	UTI89_C3373	YP_542351	K1 capsule (group 2 capsule genes of regions 2 and 3)	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Serum_resistance
kpsT-K1	UTI89_C3374	YP_542352	K1 capsule (group 2 capsule genes of regions 2 and 3)	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Serum_resistance
kpsM-K1	UTI89_C3375	YP_542353	K1 capsule (group 2 capsule genes of regions 2 and 3)	Escherichia coli O18:K1:H7 UTI89 (UPEC)	manually	Serum_resistance
ompP		CAA52338	omptin, F episome-encoded	Escherichia coli K-12 MG1655 (NPEC)	manually	Serum_resistance
ompTc	APECO1_1482	YP_851702	ompT gene for outer membrane protease VII (outer membrane protein 3b), chromosome-encoded, omptin	Escherichia coli O1:K1:H7 APEC O1 (APEC)	manually	Serum_resistance
ompTp	O2ColV26	YP_444072	outer membrane protease, omptin, episomal	Escherichia coli O2 APEC A2363 plasmid pAPEC-O2-ColV (APEC)	manually	Serum_resistance
traT	J01769	AAA26075	complement resistance gene	Escherichia coli plasmid R100	manually	Serum_resistance
etpC	L7032		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpD	L7033		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpE	L7034		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpF	L7035		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpG	L7036		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpH	L7037		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpI	L7038		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpJ	L7039		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpK	L7040		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpL	L7041		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpM	L7042		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpN	L7043		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
etpO	L7044		Etp T2SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T2SS
gspB	b3322	NP_417781	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
